"peak_id","peak_chr","peak_start","peak_end","peak_mid","peak_score","win10_start","win10_end","genes_TSS_10kb","genes_geneBodyOverlap_10kb","nearest_gene","nearest_proteincoding_gene","nearest_proteincoding_gene_distance","peak_overlap_type","peak_distanceToTSS","peak_overlap_simple","sequence_name","peak_overlap_custom"
"chr4:158826849-158827339","chr4",158826849,158827339,158827094,266,158817094,158837094,"","FNIP2","FNIP2","FNIP2",57956,"Intron (ENST00000264433.11/57600, intron 2 of 16)",-4741,"Intron","chr4_158826849-158827339","Intron"
"chr4:159280413-159280892","chr4",159280413,159280892,159280652,296,159270652,159290652,"","RAPGEF2","RAPGEF2","RAPGEF2",176474,"Promoter (1-2kb)",-1612,"Promoter","chr4_159280413-159280892","Promoter"
"chr4:159282952-159283354","chr4",159282952,159283354,159283153,231,159273153,159293153,"","RAPGEF2","RAPGEF2","RAPGEF2",178975,"Promoter (<=1kb)",448,"Promoter","chr4_159282952-159283354","Promoter"
"chr4:160453794-160454307","chr4",160453794,160454307,160454050,53,160444050,160464050,"","","LINC02477","FSTL5",1709985,"Distal Intergenic",-84947,"Intergenic","chr4_160453794-160454307","Intergenic"
"chr4:168177667-168178229","chr4",168177667,168178229,168177948,239,168167948,168187948,"","LOC105377524,ANXA10","ANXA10","ANXA10",85433,"Exon (ENST00000359299.8/11199, exon 7 of 12)",12426,"Exon","chr4_168177667-168178229","Exon"
"chr4:169438160-169438607","chr4",169438160,169438607,169438383,196,169428383,169448383,"","NEK1","NEK1","NEK1",174246,"3' UTR",40479,"3UTR","chr4_169438160-169438607","3UTR"
"chr4:169668304-169668613","chr4",169668304,169668613,169668458,97,169658458,169678458,"","CLCN3","CLCN3","CLCN3",55825,"Intron (ENST00000511092.5/1182, intron 2 of 4)",8064,"Intron","chr4_169668304-169668613","Intron"
"chr4:182895750-182896280","chr4",182895750,182896280,182896015,450,182886015,182906015,"","DCTD","DCTD","DCTD",21921,"Intron (ENST00000795668.1/ENST00000795668.1, intron 2 of 2)",-14444,"Intron","chr4_182895750-182896280","Intron"
"chr4:183080506-183080865","chr4",183080506,183080865,183080685,45,183070685,183090685,"","LOC105377578","LOC105377578","WWC2",-18608,"Promoter (1-2kb)",-1730,"Promoter","chr4_183080506-183080865","Promoter"
"chr4:183171412-183171746","chr4",183171412,183171746,183171579,24,183161579,183181579,"","WWC2","WWC2","WWC2",72286,"Intron (ENST00000403733.8/80014, intron 1 of 22)",-21869,"Intron","chr4_183171412-183171746","Intron"
"chr4:183171885-183172280","chr4",183171885,183172280,183172082,47,183162082,183182082,"","WWC2","WWC2","WWC2",72789,"Intron (ENST00000403733.8/80014, intron 1 of 22)",-21335,"Intron","chr4_183171885-183172280","Intron"
"chr4:183438013-183438467","chr4",183438013,183438467,183438240,100,183428240,183448240,"CDKN2AIP","CDKN2AIP","CDKN2AIP","CDKN2AIP",-6351,"Distal Intergenic",-6168,"Intergenic","chr4_183438013-183438467","Intergenic"
"chr4:183618610-183619115","chr4",183618610,183619115,183618862,649,183608862,183628862,"","","RWDD4","RWDD4",40363,"Exon (ENST00000732332.1/ENST00000732332.1, exon 1 of 2)",36981,"Exon","chr4_183618610-183619115","Exon"
"chr4:183658489-183658889","chr4",183658489,183658889,183658689,175,183648689,183668689,"RWDD4,TRAPPC11","RWDD4,TRAPPC11","RWDD4","RWDD4",536,"Promoter (<=1kb)",262,"Promoter","chr4_183658489-183658889","Promoter"
"chr4:184104400-184105105","chr4",184104400,184105105,184104752,1253,184094752,184114752,"","ENPP6","ENPP6","ENPP6",116478,"Exon (ENST00000662866.1/ENST00000662866.1, exon 4 of 4)",12716,"Exon","chr4_184104400-184105105","Exon"
"chr4:184364064-184364667","chr4",184364064,184364667,184364365,812,184354365,184374365,"","LINC02362","LINC02362","IRF2",110215,"Distal Intergenic",1620,"Intergenic","chr4_184364064-184364667","Intergenic"
"chr4:184440171-184440507","chr4",184440171,184440507,184440339,78,184430339,184450339,"","IRF2","IRF2","IRF2",34241,"Intron (ENST00000696840.1/3660, intron 3 of 10)",8250,"Intron","chr4_184440171-184440507","Intron"
"chr4:184884805-184885370","chr4",184884805,184885370,184885087,613,184875087,184895087,"","LINC01093","LINC01093","ACSL1",-58269,"Exon (ENST00000688750.3/ENST00000688750.3, exon 1 of 2)",9056,"Exon","chr4_184884805-184885370","Exon"
"chr4:185201186-185201660","chr4",185201186,185201660,185201423,194,185191423,185211423,"CFAP97,SNX25","CFAP97,SNX25","CFAP97","CFAP97",8081,"Intron (ENST00000458385.7/57587, intron 1 of 4)",2340,"Intron","chr4_185201186-185201660","Intron"
"chr4:185810939-185811464","chr4",185810939,185811464,185811201,254,185801201,185821201,"","SORBS2","SORBS2","SORBS2",145451,"Promoter (<=1kb)",0,"Promoter","chr4_185810939-185811464","Promoter"
"chr4:185830487-185830963","chr4",185830487,185830963,185830725,125,185820725,185840725,"","SORBS2","SORBS2","SORBS2",125927,"Intron (ENST00000284776.11/8470, intron 1 of 20)",-17363,"Intron","chr4_185830487-185830963","Intron"
"chr4:186260270-186260762","chr4",186260270,186260762,186260516,153,186250516,186270516,"F11","F11,KLKB1","KLKB1","KLKB1",51537,"Exon (ENST00000846704.1/ENST00000846704.1, exon 1 of 2)",-5427,"Exon","chr4_186260270-186260762","Exon"
"chr4:186265658-186266181","chr4",186265658,186266181,186265919,491,186255919,186275919,"F11","F11,KLKB1","F11","F11",-26,"Promoter (<=1kb)",-8,"Promoter","chr4_186265658-186266181","Promoter"
"chr4:186643831-186644415","chr4",186643831,186644415,186644123,770,186634123,186654123,"","FAT1","FAT1","FAT1",82599,"Intron (ENST00000441802.7/2195, intron 3 of 26)",-33761,"Intron","chr4_186643831-186644415","Intron"
"chr4:186684608-186684961","chr4",186684608,186684961,186684784,16,186674784,186694784,"","FAT1","FAT1","FAT1",41938,"Intron (ENST00000441802.7/2195, intron 2 of 26)",38895,"Intron","chr4_186684608-186684961","Intron"
"chr4:186755774-186756230","chr4",186755774,186756230,186756002,177,186746002,186766002,"LOC124900875","LOC124900875","LOC124900875","FAT1",-29280,"Intron (ENST00000724016.1/ENST00000724016.1, intron 2 of 2)",2944,"Intron","chr4_186755774-186756230","Intron"
"chr4:186805428-186805931","chr4",186805428,186805931,186805679,595,186795679,186815679,"","","LOC124900877","FAT1",-78957,"Intron (ENST00000724020.1/ENST00000724020.1, intron 1 of 1)",-34635,"Intron","chr4_186805428-186805931","Intron"
"chr4:188578766-188579163","chr4",188578766,188579163,188578964,79,188568964,188588964,"","LINC01060","LINC01060","TRIML1",439545,"Intron (ENST00000806916.1/401164, intron 4 of 4)",92987,"Intron","chr4_188578766-188579163","Intron"
"chr5:919529-919818","chr5",919529,919818,919673,35,909673,929673,"","TRIP13","TRIP13","TRIP13",27030,"Downstream (<=300bp)",2501,"Downstream","chr5_919529-919818","Downstream"
"chr5:1105846-1106322","chr5",1105846,1106322,1106084,404,1096084,1116084,"SLC12A7","SLC12A7","SLC12A7","SLC12A7",5951,"Intron (ENST00000264930.10/10723, intron 1 of 23)",5741,"Intron","chr5_1105846-1106322","Intron"
"chr5:5063409-5063749","chr5",5063409,5063749,5063579,84,5053579,5073579,"","LINC02121,LINC01020","LINC01020","ADAMTS16",-76751,"Intron (ENST00000659550.1/340094, intron 1 of 1)",5678,"Intron","chr5_5063409-5063749","Intron"
"chr5:5178179-5178578","chr5",5178179,5178578,5178378,298,5168378,5188378,"","ADAMTS16","ADAMTS16","ADAMTS16",38048,"Intron (ENST00000511368.5/170690, intron 3 of 10)",-37371,"Intron","chr5_5178179-5178578","Intron"
"chr5:6730728-6731155","chr5",6730728,6731155,6730941,50,6720941,6740941,"","TENT4A","TENT4A","TENT4A",17934,"Intron (ENST00000230859.8/11044, intron 1 of 12)",-14760,"Intron","chr5_6730728-6731155","Intron"
"chr5:6872735-6873159","chr5",6872735,6873159,6872947,53,6862947,6882947,"","LOC105374642,LINC02196","LINC02196","TENT4A",159940,"Intron (ENST00000648809.1/107986402, intron 1 of 5)",4188,"Intron","chr5_6872735-6873159","Intron"
"chr5:6900835-6901379","chr5",6900835,6901379,6901107,707,6891107,6911107,"","LINC02196","LINC02196","TENT4A",188100,"Intron (ENST00000648809.1/107986402, intron 1 of 5)",32288,"Intron","chr5_6900835-6901379","Intron"
"chr5:7879077-7879579","chr5",7879077,7879579,7879328,633,7869328,7889328,"","MTRR","MTRR","MTRR",28142,"Intron (ENST00000513439.5/4552, intron 5 of 14)",3915,"Intron","chr5_7879077-7879579","Intron"
"chr5:10747927-10748654","chr5",10747927,10748654,10748290,388,10738290,10758290,"DAP-DT","DAP-DT,DAP","DAP","DAP",12982,"Exon (ENST00000230895.11/1611, exon 2 of 4)",-9060,"Exon","chr5_10747927-10748654","Exon"
"chr5:14149163-14149613","chr5",14149163,14149613,14149388,128,14139388,14159388,"TRIO","TRIO","TRIO","TRIO",5686,"Intron (ENST00000698541.1/7204, intron 1 of 36)",4343,"Intron","chr5_14149163-14149613","Intron"
"chr5:14204940-14205277","chr5",14204940,14205277,14205108,50,14195108,14215108,"","TRIO","TRIO","TRIO",61406,"Intron (ENST00000698541.1/7204, intron 1 of 36)",21142,"Intron","chr5_14204940-14205277","Intron"
"chr5:14208540-14208829","chr5",14208540,14208829,14208684,57,14198684,14218684,"","TRIO","TRIO","TRIO",64982,"Intron (ENST00000698541.1/7204, intron 1 of 36)",24742,"Intron","chr5_14208540-14208829","Intron"
"chr5:14213832-14214234","chr5",14213832,14214234,14214033,166,14204033,14224033,"","TRIO","TRIO","TRIO",70331,"Intron (ENST00000698541.1/7204, intron 1 of 36)",30034,"Intron","chr5_14213832-14214234","Intron"
"chr5:14774342-14774891","chr5",14774342,14774891,14774616,796,14764616,14784616,"","ANKH","ANKH","ANKH",97162,"Intron (ENST00000284268.8/56172, intron 1 of 11)",-5192,"Intron","chr5_14774342-14774891","Intron"
"chr5:24510545-24510936","chr5",24510545,24510936,24510740,258,24500740,24520740,"","CDH10","CDH10","CDH10",134238,"Intron (ENST00000264463.8/1008, intron 6 of 11)",-11024,"Intron","chr5_24510545-24510936","Intron"
"chr5:29061213-29061718","chr5",29061213,29061718,29061465,17,29051465,29071465,"","LINC02109","LINC02109","CDH9",-1940315,"Intron (ENST00000658190.1/101929660, intron 1 of 1)",81695,"Intron","chr5_29061213-29061718","Intron"
"chr5:30505665-30505968","chr5",30505665,30505968,30505816,50,30495816,30515816,"","","LOC124900952","CDH6",-687934,"Distal Intergenic",284693,"Intergenic","chr5_30505665-30505968","Intergenic"
"chr5:30605753-30606096","chr5",30605753,30606096,30605924,49,30595924,30615924,"","","LOC124900952","CDH6",-587826,"Intron (ENST00000667165.1/ENST00000667165.1, intron 2 of 2)",184565,"Intron","chr5_30605753-30606096","Intron"
"chr5:34686843-34687243","chr5",34686843,34687243,34687043,221,34677043,34697043,"RAI14-DT","RAI14-DT,RAI14","RAI14","RAI14",30806,"Promoter (<=1kb)",0,"Promoter","chr5_34686843-34687243","Promoter"
"chr5:34756960-34757308","chr5",34756960,34757308,34757134,117,34747134,34767134,"","RAI14","RAI14","RAI14",100897,"Intron (ENST00000265109.8/26064, intron 2 of 17)",28386,"Intron","chr5_34756960-34757308","Intron"
"chr5:35185462-35185818","chr5",35185462,35185818,35185640,113,35175640,35195640,"","PRLR","PRLR","PRLR",44949,"Intron (ENST00000618457.5/5618, intron 1 of 9)",9424,"Intron","chr5_35185462-35185818","Intron"
"chr5:35237752-35238282","chr5",35237752,35238282,35238017,435,35228017,35248017,"PRLR","PRLR","PRLR","PRLR",-7428,"Distal Intergenic",-7265,"Intergenic","chr5_35237752-35238282","Intergenic"
"chr5:35483677-35484235","chr5",35483677,35484235,35483956,362,35473956,35493956,"","","LOC124901220","SPEF2",-133888,"Intron (ENST00000824642.1/ENST00000824642.1, intron 1 of 2)",54613,"Intron","chr5_35483677-35484235","Intron"
"chr5:36153714-36154137","chr5",36153714,36154137,36153925,194,36143925,36163925,"SKP2,MIR580,LMBRD2","SKP2,MIR580,LMBRD2","SKP2","SKP2",1936,"Promoter (<=1kb)",783,"Promoter","chr5_36153714-36154137","Promoter"
"chr5:36180789-36181233","chr5",36180789,36181233,36181011,38,36171011,36191011,"","SKP2","SKP2","SKP2",29022,"3' UTR",6010,"3UTR","chr5_36180789-36181233","3UTR"
"chr5:36239441-36239730","chr5",36239441,36239730,36239585,68,36229585,36249585,"NADK2","NADK2,RANBP3L","NADK2","NADK2",2694,"Intron (ENST00000381937.9/133686, intron 1 of 11)",1661,"Intron","chr5_36239441-36239730","Intron"
"chr5:37520764-37521237","chr5",37520764,37521237,37521000,148,37511000,37531000,"","WDR70","WDR70","WDR70",141788,"Intron (ENST00000504564.1/55100, intron 9 of 11)",41294,"Intron","chr5_37520764-37521237","Intron"
"chr5:38104639-38105115","chr5",38104639,38105115,38104877,477,38094877,38114877,"","LINC02119,LINC02107","LINC02107","EGFLAM",-153532,"Intron (ENST00000715998.1/105374731, intron 3 of 3)",-43365,"Intron","chr5_38104639-38105115","Intron"
"chr5:38263996-38264339","chr5",38263996,38264339,38264167,154,38254167,38274167,"LOC124900966,EGFLAM","LOC124900966,EGFLAM","EGFLAM","EGFLAM",5758,"Intron (ENST00000354891.7/133584, intron 1 of 22)",-5091,"Intron","chr5_38263996-38264339","Intron"
"chr5:39400699-39401146","chr5",39400699,39401146,39400922,153,39390922,39410922,"","DAB2,C9","C9","DAB2",61378,"Intron (ENST00000696106.1/735, intron 1 of 5)",-6299,"Intron","chr5_39400699-39401146","Intron"
"chr5:39437482-39437831","chr5",39437482,39437831,39437656,82,39427656,39447656,"","DAB2","DAB2","DAB2",24644,"Intron (ENST00000511792.5/1601, intron 1 of 2)",-12249,"Intron","chr5_39437482-39437831","Intron"
"chr5:39624907-39625374","chr5",39624907,39625374,39625140,92,39615140,39635140,"","","LINC02104","DAB2",-162840,"Distal Intergenic",104491,"Intergenic","chr5_39624907-39625374","Intergenic"
"chr5:40442371-40442853","chr5",40442371,40442853,40442612,135,40432612,40452612,"","","LOC124900967","TTC33",313363,"Distal Intergenic",53368,"Intergenic","chr5_40442371-40442853","Intergenic"
"chr5:40784254-40784687","chr5",40784254,40784687,40784470,451,40774470,40794470,"LOC124900202","LOC124900202,LOC124900968,PRKAA1","PRKAA1","PRKAA1",13904,"Intron (ENST00000771254.1/124900968, intron 2 of 2)",5517,"Intron","chr5_40784254-40784687","Intron"
"chr5:41182676-41183224","chr5",41182676,41183224,41182950,187,41172950,41192950,"","C6","C6","C6",78488,"Intron (ENST00000337836.10/729, intron 6 of 17)",3167,"Intron","chr5_41182676-41183224","Intron"
"chr5:41406325-41406738","chr5",41406325,41406738,41406531,141,41396531,41416531,"","PLCXD3","PLCXD3","PLCXD3",104097,"Intron (ENST00000377801.8/345557, intron 1 of 2)",103863,"Intron","chr5_41406325-41406738","Intron"
"chr5:41878522-41878938","chr5",41878522,41878938,41878730,115,41868730,41888730,"OXCT1-AS1,OXCT1","OXCT1-AS1,LOC102723752,OXCT1","LOC102723752","OXCT1",-8211,"Intron (ENST00000791749.1/102723752, intron 2 of 2)",7907,"Intron","chr5_41878522-41878938","Intron"
"chr5:41928996-41929537","chr5",41928996,41929537,41929266,364,41919266,41939266,"FBXO4","FBXO4,RIMOC1","FBXO4","FBXO4",4012,"Intron (ENST00000513496.5/26272, intron 1 of 3)",3675,"Intron","chr5_41928996-41929537","Intron"
"chr5:42824485-42824935","chr5",42824485,42824935,42824710,177,42814710,42834710,"","SELENOP","SELENOP","SELENOP",62682,"Promoter (<=1kb)",961,"Promoter","chr5_42824485-42824935","Promoter"
"chr5:42843861-42844226","chr5",42843861,42844226,42844043,79,42834043,42854043,"LOC124900970","LOC124900970,SELENOP","SELENOP","SELENOP",43349,"Intron (ENST00000771674.1/ENST00000771674.1, intron 1 of 2)",5979,"Intron","chr5_42843861-42844226","Intron"
"chr5:44002586-44003072","chr5",44002586,44003072,44002829,343,43992829,44012829,"","","NNT","NNT",400137,"Distal Intergenic",324807,"Intergenic","chr5_44002586-44003072","Intergenic"
"chr5:52789342-52789829","chr5",52789342,52789829,52789585,298,52779585,52799585,"ITGA1,PELO","PELO-AS1,ITGA1,PELO","PELO","PELO",1645,"Promoter (1-2kb)",-1316,"Promoter","chr5_52789342-52789829","Promoter"
"chr5:52892386-52892692","chr5",52892386,52892692,52892539,51,52882539,52902539,"","ITGA1","ITGA1","ITGA1",104643,"Intron (ENST00000282588.7/3672, intron 8 of 28)",-9087,"Intron","chr5_52892386-52892692","Intron"
"chr5:52956851-52957370","chr5",52956851,52957370,52957110,239,52947110,52967110,"","ITGA2-AS1,ITGA1","ITGA1","ITGA1",169214,"3' UTR",25699,"3UTR","chr5_52956851-52957370","3UTR"
"chr5:52997063-52997691","chr5",52997063,52997691,52997377,83,52987377,53007377,"ITGA2-AS1,ITGA2","ITGA2-AS1,ITGA2","ITGA2","ITGA2",8051,"Intron (ENST00000503810.6/3673, intron 1 of 28)",-6785,"Intron","chr5_52997063-52997691","Intron"
"chr5:54045365-54045676","chr5",54045365,54045676,54045520,51,54035520,54055520,"","ARL15","ARL15","ARL15",265062,"Intron (ENST00000504924.6/54622, intron 4 of 4)",-93766,"Intron","chr5_54045365-54045676","Intron"
"chr5:54628039-54628401","chr5",54628039,54628401,54628220,121,54618220,54638220,"","SNX18","SNX18","SNX18",110461,"Exon (ENST00000799039.1/ENST00000799039.1, exon 1 of 2)",-14744,"Exon","chr5_54628039-54628401","Exon"
"chr5:55345316-55345793","chr5",55345316,55345793,55345554,186,55335554,55355554,"LOC124900979","LOC124900979,MTREX","MTREX","MTREX",37794,"Intron (ENST00000230640.10/23517, intron 10 of 26)",-2280,"Intron","chr5_55345316-55345793","Intron"
"chr5:55364559-55364879","chr5",55364559,55364879,55364719,65,55354719,55374719,"","MTREX","MTREX","MTREX",56959,"Intron (ENST00000230640.10/23517, intron 15 of 26)",-21523,"Intron","chr5_55364559-55364879","Intron"
"chr5:55547822-55548137","chr5",55547822,55548137,55547979,58,55537979,55557979,"","","PLPP1","PLPP1",-12929,"Exon (ENST00000755034.1/ENST00000755034.1, exon 1 of 3)",-12853,"Exon","chr5_55547822-55548137","Exon"
"chr5:55934200-55934490","chr5",55934200,55934490,55934345,58,55924345,55944345,"","IL6ST","IL6ST","IL6ST",60648,"Distal Intergenic",13091,"Intergenic","chr5_55934200-55934490","Intergenic"
"chr5:56025178-56025619","chr5",56025178,56025619,56025398,381,56015398,56035398,"","","IL6ST-DT","IL6ST",-30405,"Intron (ENST00000645512.1/ENST00000645512.1, intron 2 of 3)",-24557,"Intron","chr5_56025178-56025619","Intron"
"chr5:56123785-56124348","chr5",56123785,56124348,56124066,784,56114066,56134066,"LOC101928419","LOC101928419,ANKRD55","ANKRD55","ANKRD55",109293,"Promoter (<=1kb)",0,"Promoter","chr5_56123785-56124348","Promoter"
"chr5:56211616-56212059","chr5",56211616,56212059,56211837,122,56201837,56221837,"","LOC101928419,ANKRD55","ANKRD55","ANKRD55",21522,"Intron (ENST00000341048.9/79722, intron 2 of 11)",20867,"Intron","chr5_56211616-56212059","Intron"
"chr5:56311565-56311854","chr5",56311565,56311854,56311709,43,56301709,56321709,"","LOC105378977","LOC105378977","ANKRD55",-78350,"Intron (ENST00000803567.1/105378977, intron 2 of 2)",15129,"Intron","chr5_56311565-56311854","Intron"
"chr5:56356659-56356993","chr5",56356659,56356993,56356826,59,56346826,56366826,"","","LOC105378977","ANKRD55",-123467,"Distal Intergenic",60223,"Intergenic","chr5_56356659-56356993","Intergenic"
"chr5:56358803-56359412","chr5",56358803,56359412,56359107,934,56349107,56369107,"","","LOC105378977","ANKRD55",-125748,"Distal Intergenic",62367,"Intergenic","chr5_56358803-56359412","Intergenic"
"chr5:56460997-56461325","chr5",56460997,56461325,56461161,65,56451161,56471161,"","LINC01948","LINC01948",NA,145071,"Intron (ENST00000724083.1/102467147, intron 2 of 4)",3771,"Intron","chr5_56460997-56461325","Intron"
"chr5:56638088-56638590","chr5",56638088,56638590,56638339,719,56628339,56648339,"","C5orf67","C5orf67",NA,-32107,"Exon (ENST00000810740.1/ENST00000810740.1, exon 3 of 3)",31550,"Exon","chr5_56638088-56638590","Exon"
"chr5:57102636-57103219","chr5",57102636,57103219,57102927,356,57092927,57112927,"","","GPBP1","GPBP1",-71021,"Intron (ENST00000732665.1/ENST00000732665.1, intron 2 of 2)",-70729,"Intron","chr5_57102636-57103219","Intron"
"chr5:59296275-59296580","chr5",59296275,59296580,59296427,43,59286427,59306427,"","PDE4D","PDE4D","PDE4D",1225693,"Intron (ENST00000507116.6/5144, intron 1 of 14)",-20156,"Intron","chr5_59296275-59296580","Intron"
"chr5:60672676-60673335","chr5",60672676,60673335,60673005,600,60663005,60683005,"","DEPDC1B","DEPDC1B","DEPDC1B",27185,"Intron (ENST00000265036.10/55789, intron 2 of 10)",-24529,"Intron","chr5_60672676-60673335","Intron"
"chr5:62742173-62742638","chr5",62742173,62742638,62742405,146,62732405,62752405,"","","IPO11","IPO11",338433,"Distal Intergenic",140944,"Intergenic","chr5_62742173-62742638","Intergenic"
"chr5:64654210-64654599","chr5",64654210,64654599,64654404,116,64644404,64664404,"","LOC124900984","LOC124900984","SHISAL2B",-35904,"Distal Intergenic",11531,"Intergenic","chr5_64654210-64654599","Intergenic"
"chr5:67144162-67144568","chr5",67144162,67144568,67144365,261,67134365,67154365,"","MAST4","MAST4","MAST4",548004,"Intron (ENST00000403625.7/375449, intron 21 of 28)",1728,"Intron","chr5_67144162-67144568","Intron"
"chr5:67235821-67236130","chr5",67235821,67236130,67235975,87,67225975,67245975,"","","TILRLS","CD180",-39176,"Intron (ENST00000824930.1/ENST00000824930.1, intron 1 of 2)",-31892,"Intron","chr5_67235821-67236130","Intron"
"chr5:67605701-67606291","chr5",67605701,67606291,67605996,510,67595996,67615996,"","LINC02997","LINC02997","CD180",-409197,"Intron (ENST00000503106.5/ENST00000503106.5, intron 1 of 3)",-13221,"Intron","chr5_67605701-67606291","Intron"
"chr5:67770709-67771021","chr5",67770709,67771021,67770865,52,67760865,67780865,"","LINC02997","LINC02997","PIK3R1",-444855,"Promoter (1-2kb)",-1671,"Promoter","chr5_67770709-67771021","Promoter"
"chr5:67815697-67815986","chr5",67815697,67815986,67815841,53,67805841,67825841,"","LINC02997","LINC02997","PIK3R1",-399879,"Intron (ENST00000510621.5/ENST00000510621.5, intron 2 of 3)",18352,"Intron","chr5_67815697-67815986","Intron"
"chr5:67966719-67967137","chr5",67966719,67967137,67966928,45,67956928,67976928,"","LOC107986420","LOC107986420","PIK3R1",-248792,"Intron (ENST00000786146.1/ENST00000786146.1, intron 1 of 1)",18573,"Intron","chr5_67966719-67967137","Intron"
"chr5:68080663-68081016","chr5",68080663,68081016,68080839,113,68070839,68090839,"LOC124900990","LOC124900990","LOC124900990","PIK3R1",-134881,"Intron (ENST00000786409.1/124900990, intron 1 of 1)",2864,"Intron","chr5_68080663-68081016","Intron"
"chr5:68180345-68180634","chr5",68180345,68180634,68180489,79,68170489,68190489,"LINC02219","LINC02219","LINC02219","PIK3R1",-35231,"Distal Intergenic",-7147,"Intergenic","chr5_68180345-68180634","Intergenic"
"chr5:68219145-68219442","chr5",68219145,68219442,68219293,42,68209293,68229293,"PIK3R1","PIK3R1","PIK3R1","PIK3R1",3573,"Intron (ENST00000517412.2/5295, intron 1 of 2)",2585,"Intron","chr5_68219145-68219442","Intron"
"chr5:68239394-68239857","chr5",68239394,68239857,68239625,350,68229625,68249625,"","PIK3R1","PIK3R1","PIK3R1",23905,"Promoter (<=1kb)",-41,"Promoter","chr5_68239394-68239857","Promoter"
"chr5:68284993-68285485","chr5",68284993,68285485,68285239,320,68275239,68295239,"","PIK3R1","PIK3R1","PIK3R1",69519,"Intron (ENST00000697461.1/5295, intron 7 of 15)",-2567,"Intron","chr5_68284993-68285485","Intron"
"chr5:68288155-68288591","chr5",68288155,68288591,68288373,131,68278373,68298373,"","PIK3R1","PIK3R1","PIK3R1",72653,"Promoter (<=1kb)",103,"Promoter","chr5_68288155-68288591","Promoter"
"chr5:68396061-68396643","chr5",68396061,68396643,68396352,180,68386352,68406352,"","","LOC105379013","PIK3R1",180632,"Distal Intergenic",37397,"Intergenic","chr5_68396061-68396643","Intergenic"
"chr5:68682429-68682850","chr5",68682429,68682850,68682639,243,68672639,68692639,"","LOC105379011,LOC105379013,LOC124900991","LOC105379013","PIK3R1",466919,"Intron (ENST00000507733.3/105379013, intron 2 of 5)",-8759,"Intron","chr5_68682429-68682850","Intron"
"chr5:69225942-69226430","chr5",69225942,69226430,69226186,267,69216186,69236186,"CDK7,KGD4","CDK7,KGD4","KGD4","KGD4",8426,"5' UTR",8055,"5UTR","chr5_69225942-69226430","5UTR"
"chr5:69451934-69452622","chr5",69451934,69452622,69452278,156,69442278,69462278,"","MARVELD2","MARVELD2","MARVELD2",37166,"Distal Intergenic",32548,"Intergenic","chr5_69451934-69452622","Intergenic"
"chr5:72295723-72296018","chr5",72295723,72296018,72295870,65,72285870,72305870,"","MRPS27","MRPS27","MRPS27",24776,"Intron (ENST00000694990.1/23107, intron 4 of 11)",-6793,"Intron","chr5_72295723-72296018","Intron"
"chr5:73544642-73545134","chr5",73544642,73545134,73544888,280,73534888,73554888,"","ANKRA2","ANKRA2","ANKRA2",20798,"Exon (ENST00000772695.1/ENST00000772695.1, exon 2 of 2)",9296,"Exon","chr5_73544642-73545134","Exon"
"chr5:73623846-73624386","chr5",73623846,73624386,73624116,116,73614116,73634116,"ARHGEF28","ARHGEF28","ARHGEF28","ARHGEF28",-2042,"Promoter (1-2kb)",-1772,"Promoter","chr5_73623846-73624386","Promoter"
"chr5:73663902-73664305","chr5",73663902,73664305,73664103,180,73654103,73674103,"LOC107986423","LOC107986423,ARHGEF28","ARHGEF28","ARHGEF28",37945,"Promoter (<=1kb)",0,"Promoter","chr5_73663902-73664305","Promoter"
"chr5:73813004-73813502","chr5",73813004,73813502,73813253,524,73803253,73823253,"","ARHGEF28","ARHGEF28","ARHGEF28",187095,"Promoter (<=1kb)",-16,"Promoter","chr5_73813004-73813502","Promoter"
"chr5:73823431-73823910","chr5",73823431,73823910,73823670,456,73813670,73833670,"","ARHGEF28","ARHGEF28","ARHGEF28",197512,"Intron (ENST00000296794.10/64283, intron 9 of 34)",9913,"Intron","chr5_73823431-73823910","Intron"
"chr5:74408199-74408517","chr5",74408199,74408517,74408358,54,74398358,74418358,"","LINC01331","LINC01331","ENC1",233066,"Intron (ENST00000663633.1/104310351, intron 1 of 2)",-6070,"Intron","chr5_74408199-74408517","Intron"
"chr5:74500441-74500960","chr5",74500441,74500960,74500700,691,74490700,74510700,"","LINC01331","LINC01331","ENC1",140724,"Promoter (1-2kb)",-1033,"Promoter","chr5_74500441-74500960","Promoter"
"chr5:74502378-74502896","chr5",74502378,74502896,74502637,545,74492637,74512637,"","LINC01331","LINC01331","ENC1",138787,"Intron (ENST00000830524.1/ENST00000830524.1, intron 1 of 1)",-2970,"Intron","chr5_74502378-74502896","Intron"
"chr5:74580968-74581492","chr5",74580968,74581492,74581230,1224,74571230,74591230,"","","LINC01331","ENC1",60194,"Intron (ENST00000783168.1/ENST00000783168.1, intron 1 of 1)",-43839,"Intron","chr5_74580968-74581492","Intron"
"chr5:74640993-74641300","chr5",74640993,74641300,74641146,23,74631146,74651146,"HEXB,ENC1","HEXB,ENC1","ENC1","ENC1",278,"Promoter (<=1kb)",124,"Promoter","chr5_74640993-74641300","Promoter"
"chr5:74850170-74850459","chr5",74850170,74850459,74850314,30,74840314,74860314,"","FAM169A","FAM169A","FAM169A",16637,"Promoter (1-2kb)",-1315,"Promoter","chr5_74850170-74850459","Promoter"
